id,creditlimit,n_cards,os_balance,os_billing,tot_cash_advance_trx,tot_retail_trx,remaining_unpaid_balance,branchcode,rasio_pembayaranpayment_ratio,overlimit_pct,payment_ration_3months,payment_ration_6months,deliquncy_score,loan_tenure,total_trx,remaining_statement_balance_per_n_cards,remaining_statement_balance_per_limit,total_trx_per_limit,tot_trx_3months_per_limit,tot_trx_6months_per_limit,utilization_Rate_3months,utilization_Rate_6months
20210113077,40000000.0,2,7000876,7000000.0,0.0,0.0,0.0,A,100.0,0.0,100.0,70.5,0,3.25,0.0,0.0,0.0,0.0,0.0644,0.00358,0.106,0.000721
20210112876,6000000.0,2,3979140,3549596.0,0.0,286000.0,3568329.0,F,10.4,0.0,12.2,66.6,0,10.5,286000.0,1784165.0,0.595,0.0477,0.16699999999999998,0.221,0.7559999999999999,0.539
20210111883,5000000.0,2,2480653,2954959.0,0.0,0.0,2477473.0,E,0.0,0.0,60.1,29.7,0,1.08,0.0,1238737.0,0.495,0.0,0.205,0.254,0.36700000000000005,0.313
20210103119,5000000.0,2,4593221,4451008.0,0.0,46709.0,4494374.0,E,21.2,0.0,11.0,42.0,0,7.75,46709.0,2247187.0,0.899,0.009340000000000001,0.0128,0.0183,0.953,1.01
20210115204,9000000.0,2,2513832,2397448.0,0.0,0.0,2547067.0,J,33.5,0.0,30.6,47.1,0,5.17,0.0,1273534.0,0.28300000000000003,0.0,0.16699999999999998,0.261,0.47100000000000003,0.401
20210101040,96000000.0,2,15489678,16110331.0,0.0,0.0,18171521.0,A,0.0,0.0,29.09,7.05,0,7.25,0.0,9085760.5,0.189286677,0.0,0.032474458,0.008429128000000001,0.132295935,0.172133201
20210102506,7000000.0,2,62162,44136.0,0.0,0.0,0.0,F,0.0,0.0,114.0,107.0,0,1.83,0.0,0.0,0.0,0.0,0.0,0.0203,0.00695,0.0326
20210111347,13000000.0,2,3617458,3503803.0,3000000.0,56000.0,0.0,B,100.0,0.0,100.0,100.0,0,5.58,3056000.0,0.0,0.0,0.235,0.154,0.158,0.402,0.413
20210112844,7000000.0,2,7509188,5252604.0,0.0,6881445.0,4992062.0,A,91.5,1.46,73.2,133.0,0,6.5,6881445.0,2496031.0,0.713,0.983,0.302,0.0411,0.306,0.21600000000000003
20210109685,3000000.0,3,96966,82427.0,0.0,55000.0,127084.0,H,0.0,0.0,25.0,36.3,0,3.92,55000.0,42361.0,0.0424,0.0183,0.0499,0.0167,0.0333,0.0842
20210106054,9000000.0,2,173522,140306.0,0.0,0.0,196842.0,A,75.7,0.0,23.6,0.0,0,10.4,0.0,98421.0,0.0219,0.0,0.0,0.00026000000000000003,0.0354,0.0453
